〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
23/10/16,8:45,31960,31960,31930,31930,548,,8:45,31960,31960,31900,31920,951,,8:45,31960,31960,31900,31910,1343,,8:45,31960,31960,31900,31910,1817,,8:45,31960,31960,31900,31930,2448,,8:45,31960,31960,31850,31890,4510,,8:45,31960,31960,31690,31830,8042,,8:45,31960,31960,31690,31750,15562,,23/10/16,31960,31960,31560,31680,52181,,23/10/16,31690,32050,31590,31990,18191
23/10/16,8:46,31930,31930,31900,31910,245,,8:48,31920,31920,31900,31900,596,,8:50,31910,31920,31900,31910,474,,8:55,31910,31930,31850,31890,2693,,9:00,31920,31930,31690,31830,5594,,9:05,31880,31880,31690,31870,5857,,9:15,31820,31960,31750,31750,7520,,9:45,31750,31830,31700,31780,9947,,,,,,,,,,,,,,
23/10/16,8:47,31910,31920,31900,31920,158,,8:51,31900,31920,31900,31910,218,,8:55,31910,31930,31900,31930,631,,9:05,31880,31880,31690,31830,3532,,9:15,31820,31960,31790,31950,3598,,9:25,31880,31960,31750,31750,5195,,9:45,31750,31810,31700,31800,5971,,10:45,31790,31800,31650,31730,5846,,,,,,,,,,,,,,
23/10/16,8:48,31920,31920,31900,31910,110,,8:54,31910,31920,31900,31900,266,,9:00,31920,31930,31850,31890,2062,,9:15,31820,31880,31790,31870,2325,,9:30,31940,31940,31750,31750,3922,,9:45,31750,31790,31700,31770,4473,,10:15,31800,31830,31750,31780,3976,,11:45,31730,31740,31690,31730,3119,,,,,,,,,,,,,,
23/10/16,8:49,31910,31920,31910,31910,282,,8:57,31900,31930,31900,31930,417,,9:05,31880,31880,31690,31760,2538,,9:25,31880,31960,31860,31910,2476,,9:45,31750,31790,31700,31730,3533,,10:05,31770,31820,31740,31760,2811,,10:45,31790,31790,31650,31780,4116,,12:45,31730,31750,31660,31660,4819,,,,,,,,,,,,,,
23/10/16,8:50,31910,31910,31900,31900,204,,9:00,31920,31930,31850,31870,1503,,9:10,31760,31830,31750,31830,994,,9:35,31910,31910,31750,31750,2719,,10:00,31730,31810,31720,31800,2438,,10:25,31760,31830,31750,31780,2663,,11:15,31780,31800,31730,31730,1730,,13:45,31660,31710,31580,31600,5651,,,,,,,,,,,,,,
23/10/16,8:51,31900,31920,31900,31920,92,,9:03,31880,31910,31800,31800,1237,,9:15,31820,31870,31790,31830,1185,,9:45,31750,31790,31700,31750,2762,,10:15,31800,31830,31760,31800,1768,,10:45,31790,31790,31650,31670,2913,,11:45,31730,31740,31700,31710,974,,14:45,31600,31720,31560,31710,5612,,,,,,,,,,,,,,
23/10/16,8:52,31920,31920,31920,31920,0,,9:06,31790,31790,31690,31720,1587,,9:20,31840,31880,31830,31870,1140,,9:55,31750,31780,31700,31770,1711,,10:30,31800,31830,31750,31780,2208,,11:05,31670,31790,31670,31790,1840,,12:15,31710,31730,31690,31730,2145,,15:15,31680,31680,31680,31680,1625,,,,,,,,,,,,,,
23/10/16,8:53,31920,31920,31910,31910,126,,9:09,31730,31790,31730,31790,712,,9:25,31880,31960,31860,31950,1273,,10:05,31770,31810,31740,31800,1498,,10:45,31790,31790,31740,31740,1624,,11:25,31790,31800,31730,31730,1093,,12:45,31730,31750,31660,31670,2539,,16:30,31690,31720,31590,31660,2720,,,,,,,,,,,,,,
23/10/16,8:54,31910,31920,31910,31910,52,,9:12,31790,31830,31780,31830,555,,9:30,31940,31940,31900,31910,1203,,10:15,31800,31820,31760,31760,1313,,11:00,31730,31780,31650,31780,2492,,11:45,31730,31740,31710,31720,648,,13:15,31680,31700,31660,31660,2280,,17:30,31660,31700,31630,31640,1261,,,,,,,,,,,,,,
23/10/16,8:55,31910,31920,31910,31920,43,,9:15,31820,31860,31790,31860,819,,9:35,31910,31910,31830,31840,1219,,10:25,31760,31830,31760,31770,1132,,11:15,31780,31800,31740,31780,1097,,12:05,31730,31730,31700,31710,641,,13:45,31660,31710,31660,31680,1890,,18:30,31640,31670,31640,31660,703,,,,,,,,,,,,,,
23/10/16,8:56,31910,31910,31900,31900,171,,9:18,31860,31870,31810,31840,617,,9:40,31850,31850,31750,31750,1500,,10:35,31770,31830,31750,31780,1531,,11:30,31770,31770,31730,31730,633,,12:25,31710,31730,31690,31730,1830,,14:15,31670,31680,31580,31600,3761,,19:30,31660,31720,31660,31680,722,,,,,,,,,,,,,,
23/10/16,8:57,31900,31900,31900,31900,196,,9:21,31840,31880,31840,31850,711,,9:45,31750,31790,31700,31770,1919,,10:45,31790,31790,31740,31750,1084,,11:45,31730,31740,31730,31730,431,,12:45,31730,31750,31690,31690,1598,,14:45,31600,31720,31560,31710,5612,,20:30,31680,31720,31650,31660,1285,,,,,,,,,,,,,,
23/10/16,8:58,31900,31900,31900,31900,28,,9:24,31850,31880,31850,31880,552,,9:50,31770,31790,31750,31750,843,,10:55,31750,31750,31650,31670,1829,,12:00,31730,31730,31700,31710,543,,13:05,31690,31700,31660,31700,1512,,15:15,31680,31680,31680,31680,1625,,21:30,31660,31760,31650,31760,1272,,,,,,,,,,,,,,
23/10/16,8:59,31910,31930,31900,31930,193,,9:27,31890,31960,31880,31950,899,,9:55,31750,31750,31700,31730,771,,11:05,31670,31780,31670,31780,1203,,12:15,31710,31720,31700,31710,598,,13:25,31700,31700,31660,31660,1709,,16:30,31690,31720,31620,31660,1705,,22:30,31760,31980,31760,31980,3185,,,,,,,,,,,,,,
23/10/16,9:00,31920,31930,31880,31880,687,,9:30,31940,31940,31900,31900,749,,10:00,31730,31780,31720,31770,940,,11:15,31780,31790,31740,31790,637,,12:30,31710,31730,31690,31730,1547,,13:45,31660,31710,31660,31680,1294,,17:00,31650,31670,31590,31660,1015,,23:30,31970,32050,31940,31960,2859,,,,,,,,,,,,,,
23/10/16,9:01,31880,31890,31870,31880,549,,9:33,31910,31940,31880,31880,612,,10:05,31770,31780,31740,31770,836,,11:25,31790,31800,31750,31750,747,,12:45,31730,31750,31700,31720,1264,,14:05,31670,31690,31660,31670,1255,,17:30,31660,31700,31660,31680,695,,0:30,31960,31960,31890,31910,1060,,,,,,,,,,,,,,
23/10/16,9:02,31880,31880,31850,31870,267,,9:36,31880,31900,31830,31850,774,,10:10,31770,31810,31760,31800,662,,11:35,31750,31760,31730,31730,346,,13:00,31720,31730,31660,31670,1275,,14:25,31670,31680,31580,31600,3102,,18:00,31680,31680,31630,31640,566,,1:30,31910,31990,31840,31910,1383,,,,,,,,,,,,,,
23/10/16,9:03,31880,31880,31860,31870,255,,9:39,31840,31850,31780,31800,824,,10:15,31800,31820,31790,31790,793,,11:45,31730,31740,31730,31730,191,,13:15,31680,31700,31670,31670,1216,,14:45,31600,31710,31560,31680,4510,,18:30,31640,31670,31640,31650,372,,2:30,31910,31980,31910,31940,568,,,,,,,,,,,,,,
23/10/16,9:04,31870,31910,31870,31890,304,,9:42,31790,31810,31750,31750,963,,10:20,31790,31790,31760,31760,520,,11:55,31730,31740,31710,31720,457,,13:30,31670,31690,31660,31660,1064,,15:05,31680,31720,31680,31710,1102,,19:00,31650,31670,31640,31660,331,,3:30,31940,31980,31900,31980,570,,,,,,,,,,,,,,
23/10/16,9:05,31880,31880,31800,31800,678,,9:45,31750,31770,31700,31740,1481,,10:25,31760,31830,31760,31800,455,,12:05,31730,31730,31700,31710,326,,13:45,31660,31710,31660,31710,952,,15:15,31680,31680,31680,31680,1625,,19:30,31660,31700,31660,31700,237,,4:30,31980,31990,31950,31960,477,,,,,,,,,,,,,,
23/10/16,9:06,31790,31790,31710,31710,584,,9:48,31740,31790,31740,31770,768,,10:30,31800,31800,31760,31770,677,,12:15,31710,31720,31700,31710,315,,14:00,31710,31710,31660,31680,938,,16:30,31690,31720,31620,31630,1344,,20:00,31710,31720,31660,31680,485,,5:30,31960,31970,31950,31960,49,,,,,,,,,,,,,,
23/10/16,9:07,31710,31710,31690,31710,738,,9:51,31760,31790,31750,31760,410,,10:35,31770,31790,31750,31780,615,,12:25,31710,31720,31690,31710,1020,,14:15,31670,31680,31660,31670,889,,16:50,31630,31680,31600,31620,696,,20:30,31680,31720,31680,31700,587,,6:00,31990,31990,31990,31990,77,,,,,,,,,,,,,,
23/10/16,9:08,31710,31720,31710,31720,265,,9:54,31750,31760,31700,31700,490,,10:40,31780,31830,31770,31780,916,,12:35,31710,31730,31690,31730,810,,14:30,31660,31660,31580,31600,2872,,17:10,31620,31670,31590,31660,680,,21:00,31700,31700,31650,31660,698,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:09,31730,31770,31730,31760,273,,9:57,31700,31730,31700,31730,384,,10:45,31790,31790,31750,31760,554,,12:45,31730,31750,31710,31720,935,,14:45,31600,31640,31560,31630,2542,,17:30,31660,31690,31660,31690,407,,21:30,31660,31760,31650,31750,843,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:10,31760,31780,31760,31770,303,,10:00,31730,31760,31720,31740,448,,10:50,31770,31780,31740,31750,530,,12:55,31710,31730,31690,31690,663,,15:00,31630,31720,31620,31710,3070,,17:50,31690,31700,31650,31660,488,,22:00,31750,31760,31720,31760,429,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:11,31760,31790,31750,31790,136,,10:03,31750,31780,31740,31750,726,,10:55,31750,31750,31740,31740,540,,13:05,31690,31690,31660,31670,941,,15:15,31680,31680,31680,31680,1625,,18:10,31650,31660,31630,31640,366,,22:30,31760,31850,31760,31850,1551,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:12,31790,31820,31780,31800,252,,10:06,31760,31780,31740,31770,387,,11:00,31730,31740,31650,31670,1289,,13:15,31680,31700,31670,31700,571,,16:30,31690,31720,31630,31640,1079,,18:30,31640,31670,31640,31660,284,,23:00,31850,31980,31850,31980,1634,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:13,31790,31820,31790,31810,129,,10:09,31770,31780,31760,31780,514,,11:05,31670,31730,31670,31730,764,,13:25,31700,31700,31660,31670,1174,,16:45,31640,31680,31620,31660,626,,18:50,31650,31660,31640,31640,180,,23:30,31970,32050,31970,31990,1504,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:14,31820,31830,31820,31830,174,,10:12,31770,31810,31770,31800,363,,11:10,31730,31780,31730,31780,439,,13:35,31670,31690,31660,31660,535,,17:00,31650,31660,31600,31610,499,,19:10,31640,31670,31640,31660,239,,0:00,32000,32020,31940,31960,1355,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:15,31820,31820,31790,31790,339,,10:15,31800,31820,31790,31800,538,,11:15,31780,31780,31740,31740,427,,13:45,31660,31710,31660,31710,624,,17:15,31610,31670,31590,31660,516,,19:30,31660,31680,31660,31680,150,,0:30,31960,31960,31910,31910,533,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:16,31790,31830,31790,31830,175,,10:18,31800,31810,31760,31770,388,,11:20,31740,31790,31740,31790,210,,13:55,31710,31710,31680,31680,670,,17:30,31660,31680,31660,31670,330,,19:50,31680,31720,31660,31660,349,,1:00,31900,31930,31890,31910,527,,,,,,,,,,,,,,,,,,,,,
23/10/16,9:17,31830,31860,31830,31860,305,,10:21,31770,31780,31760,31770,335,,11:25,31790,31800,31780,31780,460,,14:05,31670,31690,31660,31680,596,,17:45,31670,31700,31670,31680,365,,20:10,31660,31690,31660,31680,223,,1:30,31910,31930,31890,31910,256,,,,,,,,,,,,,,,,,,,,,
