〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
19/03/08,8:45,21110,21120,21100,21100,683,,8:45,21110,21130,21100,21120,919,,8:45,21110,21130,21100,21120,996,,8:45,21110,21130,21100,21120,1129,,8:45,21110,21150,21100,21130,2440,,8:45,21110,21150,21090,21090,4562,,8:45,21110,21150,21030,21040,7921,,8:45,21110,21150,21030,21060,11529,,19/03/08,21110,21150,20770,20770,55266,,19/03/08,20760,20870,20640,20850,28823
19/03/08,8:46,21110,21130,21110,21120,222,,8:48,21120,21130,21120,21120,79,,8:50,21120,21130,21120,21120,133,,8:55,21130,21150,21090,21090,3433,,9:00,21130,21150,21030,21040,5481,,9:05,21090,21100,21030,21070,5136,,9:15,21050,21090,21040,21060,3608,,9:45,21060,21070,20920,20930,9519,,,,,,,,,,,,,,
19/03/08,8:47,21120,21120,21110,21120,14,,8:51,21120,21130,21120,21120,131,,8:55,21130,21150,21110,21130,1311,,9:05,21090,21100,21030,21040,3359,,9:15,21050,21080,21040,21070,2129,,9:25,21070,21090,21060,21060,1831,,9:45,21060,21070,20970,20990,4838,,10:45,20930,20980,20900,20970,6811,,,,,,,,,,,,,,
19/03/08,8:48,21120,21120,21120,21120,3,,8:54,21120,21130,21110,21120,352,,9:00,21130,21150,21090,21090,2122,,9:15,21050,21080,21040,21070,1777,,9:30,21070,21090,21060,21060,1479,,9:45,21060,21070,20970,20980,3881,,10:15,21000,21000,20920,20930,4681,,11:45,20970,20970,20840,20860,7572,,,,,,,,,,,,,,
19/03/08,8:49,21120,21130,21120,21120,74,,8:57,21110,21150,21110,21130,959,,9:05,21090,21100,21040,21050,2302,,9:25,21070,21090,21070,21080,1186,,9:45,21060,21070,20970,20980,2888,,10:05,20980,21000,20980,20980,1952,,10:45,20930,20960,20900,20940,3846,,12:45,20870,20870,20790,20830,5747,,,,,,,,,,,,,,
19/03/08,8:50,21120,21120,21120,21120,2,,9:00,21130,21150,21100,21110,1552,,9:10,21040,21060,21030,21040,1057,,9:35,21080,21090,21060,21060,645,,10:00,20970,21000,20970,20990,1950,,10:25,20980,20980,20920,20930,3686,,11:15,20940,20980,20930,20970,2965,,13:45,20830,20840,20790,20810,4885,,,,,,,,,,,,,,
19/03/08,8:51,21120,21120,21120,21120,38,,9:03,21110,21110,21070,21080,1097,,9:15,21050,21080,21040,21070,1141,,9:45,21060,21070,21040,21040,860,,10:15,21000,21000,20950,20960,1932,,10:45,20930,20960,20910,20920,2379,,11:45,20970,20970,20910,20920,1910,,14:45,20800,20840,20790,20800,6429,,,,,,,,,,,,,,
19/03/08,8:52,21120,21120,21120,21120,84,,9:06,21080,21080,21040,21060,1593,,9:20,21070,21070,21050,21070,636,,9:55,21040,21040,20970,20980,3021,,10:30,20950,20960,20920,20930,2749,,11:05,20920,20960,20900,20930,3039,,12:15,20920,20920,20840,20860,5662,,15:15,20770,20770,20770,20770,2774,,,,,,,,,,,,,,
19/03/08,8:53,21120,21130,21120,21120,9,,9:09,21060,21060,21030,21050,727,,9:25,21070,21080,21070,21070,352,,10:05,20980,21000,20980,20990,957,,10:45,20930,20960,20920,20940,1475,,11:25,20930,20980,20930,20970,1393,,12:45,20870,20870,20830,20840,2041,,16:30,20760,20790,20730,20780,4082,,,,,,,,,,,,,,
19/03/08,8:54,21120,21120,21120,21120,0,,9:12,21050,21050,21030,21040,512,,9:30,21070,21090,21070,21080,834,,10:15,21000,21000,20980,20980,995,,11:00,20940,20950,20900,20940,2371,,11:45,20970,20970,20920,20930,1314,,13:15,20840,20840,20790,20830,3706,,17:30,20780,20810,20760,20790,2537,,,,,,,,,,,,,,
