〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
24/04/04,8:45,40000,40000,39990,39990,510,,8:45,40000,40040,39990,40020,910,,8:45,40000,40050,39990,40050,1079,,8:45,40000,40060,39990,40030,1392,,8:45,40000,40090,39990,40070,1833,,8:45,40000,40090,39980,39980,3686,,8:45,40000,40090,39950,39990,5425,,8:45,40000,40290,39950,40220,11581,,24/04/04,40000,40290,39820,39820,43785,,24/04/04,39890,40010,39080,39090,17775
24/04/04,8:46,40000,40040,40000,40030,343,,8:48,40020,40050,40020,40050,249,,8:50,40040,40060,40030,40030,313,,8:55,40030,40090,39980,39980,2294,,9:00,40080,40080,39950,39990,3592,,9:05,39970,40140,39950,40130,3566,,9:15,40000,40290,40000,40220,6156,,9:45,40210,40260,40040,40140,8143,,,,,,,,,,,,,,
24/04/04,8:47,40030,40030,40010,40020,57,,8:51,40050,40060,40040,40050,142,,8:55,40030,40090,40030,40070,441,,9:05,39970,40030,39950,39990,1739,,9:15,40000,40230,40000,40230,3187,,9:25,40140,40290,40130,40220,4329,,9:45,40210,40260,40040,40040,4683,,10:45,40150,40190,40060,40160,4043,,,,,,,,,,,,,,
24/04/04,8:48,40020,40040,40020,40040,61,,8:54,40050,40050,40030,40050,232,,9:00,40080,40080,39980,39980,1853,,9:15,40000,40140,40000,40130,1827,,9:30,40240,40290,40200,40220,2969,,9:45,40210,40260,40110,40140,3270,,10:15,40040,40230,40040,40140,3460,,11:45,40170,40220,40150,40160,2819,,,,,,,,,,,,,,
24/04/04,8:49,40040,40050,40040,40050,108,,8:57,40060,40090,40060,40070,300,,9:05,39970,40030,39960,39980,944,,9:25,40140,40260,40130,40240,2773,,9:45,40210,40260,40120,40150,2549,,10:05,40140,40160,40040,40140,2704,,10:45,40150,40190,40070,40110,2272,,12:45,40160,40160,40080,40100,4271,,,,,,,,,,,,,,
24/04/04,8:50,40040,40050,40040,40050,80,,9:00,40080,40080,40010,40010,1141,,9:10,39980,40000,39950,39990,795,,9:35,40230,40290,40220,40220,1556,,10:00,40150,40150,40040,40040,2134,,10:25,40140,40230,40140,40140,2169,,11:15,40100,40170,40060,40160,1771,,13:45,40100,40100,39820,39850,6625,,,,,,,,,,,,,,
24/04/04,8:51,40050,40060,40050,40060,71,,9:03,40010,40020,39960,39980,903,,9:15,40000,40060,40000,40040,701,,9:45,40210,40260,40190,40200,1385,,10:15,40040,40170,40040,40160,1637,,10:45,40150,40190,40110,40120,1446,,11:45,40170,40220,40160,40210,845,,14:45,39840,39890,39830,39850,4929,,,,,,,,,,,,,,
24/04/04,8:52,40060,40060,40050,40050,34,,9:06,39990,40030,39970,40030,536,,9:20,40040,40140,40020,40130,1126,,9:55,40210,40210,40110,40140,1885,,10:30,40160,40230,40140,40140,1823,,11:05,40110,40130,40060,40090,1679,,12:15,40210,40220,40150,40160,1974,,15:15,39820,39820,39820,39820,1374,,,,,,,,,,,,,,
24/04/04,8:53,40040,40050,40040,40050,37,,9:09,40030,40030,39970,39980,562,,9:25,40140,40230,40130,40230,1360,,10:05,40140,40140,40040,40040,1413,,10:45,40150,40190,40120,40150,1141,,11:25,40090,40170,40090,40160,918,,12:45,40160,40160,40100,40110,2354,,16:30,39890,39910,39840,39880,1346,,,,,,,,,,,,,,
24/04/04,8:54,40050,40050,40030,40030,91,,9:12,39970,39990,39950,39990,450,,9:30,40240,40260,40200,40240,1413,,10:15,40040,40160,40040,40140,1291,,11:00,40150,40150,40070,40110,1131,,11:45,40170,40220,40160,40220,652,,13:15,40110,40150,40080,40100,1917,,17:30,39880,39900,39840,39890,703,,,,,,,,,,,,,,
24/04/04,8:55,40030,40040,40030,40030,57,,9:15,40000,40060,40000,40030,567,,9:35,40230,40290,40220,40260,764,,10:25,40140,40200,40140,40200,796,,11:15,40100,40140,40060,40140,1403,,12:05,40220,40220,40190,40190,441,,13:45,40100,40100,39980,40000,2755,,18:30,39890,39920,39880,39910,501,,,,,,,,,,,,,,
24/04/04,8:56,40040,40050,40040,40050,84,,9:18,40040,40060,40020,40040,355,,9:40,40250,40250,40220,40220,792,,10:35,40200,40230,40140,40140,1373,,11:30,40140,40170,40140,40160,368,,12:25,40190,40200,40150,40160,1726,,14:15,40000,40000,39820,39850,3870,,19:30,39910,39940,39890,39930,671,,,,,,,,,,,,,,
24/04/04,8:57,40060,40070,40060,40070,111,,9:21,40040,40130,40040,40110,732,,9:45,40210,40250,40190,40230,877,,10:45,40150,40170,40120,40160,697,,11:45,40170,40200,40160,40200,472,,12:45,40160,40160,40110,40120,1760,,14:45,39840,39890,39830,39850,4929,,20:30,39930,39930,39870,39890,418,,,,,,,,,,,,,,
24/04/04,8:58,40070,40070,40070,40070,59,,9:24,40110,40190,40110,40160,807,,9:50,40240,40260,40190,40200,508,,10:55,40160,40190,40110,40120,749,,12:00,40190,40220,40190,40210,373,,13:05,40130,40140,40100,40110,1203,,15:15,39820,39820,39820,39820,1374,,21:30,39890,39990,39890,39990,1300,,,,,,,,,,,,,,
24/04/04,8:59,40080,40090,40070,40070,130,,9:27,40160,40230,40160,40230,726,,9:55,40210,40210,40120,40150,1164,,11:05,40110,40130,40070,40110,826,,12:15,40210,40220,40180,40180,491,,13:25,40110,40150,40080,40100,1308,,16:30,39890,39890,39840,39870,720,,22:30,39990,40010,39930,39960,1461,,,,,,,,,,,,,,
24/04/04,9:00,40080,40080,40030,40040,572,,9:30,40240,40260,40200,40200,929,,10:00,40150,40150,40110,40140,721,,11:15,40100,40110,40060,40090,853,,12:30,40190,40200,40150,40160,1483,,13:45,40100,40100,39990,39990,2104,,17:00,39860,39910,39860,39880,626,,23:30,39960,40000,39910,39940,905,,,,,,,,,,,,,,
24/04/04,9:01,40040,40050,40030,40030,276,,9:33,40210,40240,40210,40240,632,,10:05,40140,40140,40110,40110,593,,11:25,40090,40160,40090,40160,716,,12:45,40160,40160,40120,40120,1367,,14:05,39990,40010,39860,39860,1941,,17:30,39880,39900,39870,39890,367,,0:30,39940,39940,39890,39900,703,,,,,,,,,,,,,,
24/04/04,9:02,40030,40030,40010,40010,293,,9:36,40240,40290,40240,40280,440,,10:10,40100,40120,40040,40040,820,,11:35,40160,40170,40150,40160,202,,13:00,40120,40140,40100,40110,987,,14:25,39860,39890,39820,39850,2580,,18:00,39890,39900,39840,39890,336,,1:30,39900,39910,39880,39900,589,,,,,,,,,,,,,,
