〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
24/08/14,8:45,36470,36470,36430,36470,233,,8:45,36470,36500,36430,36480,427,,8:45,36470,36500,36430,36430,533,,8:45,36470,36510,36430,36500,908,,8:45,36470,36560,36430,36540,1338,,8:45,36470,36640,36430,36610,2921,,8:45,36470,36670,36410,36430,4969,,8:45,36470,36670,36240,36320,10188,,24/08/14,36470,36670,36020,36380,40008,,24/08/14,36370,36410,35830,36290,13839
24/08/14,8:46,36470,36480,36460,36480,31,,8:48,36480,36480,36430,36450,138,,8:50,36430,36510,36430,36500,375,,8:55,36510,36640,36460,36610,2013,,9:00,36550,36670,36410,36430,3631,,9:05,36610,36670,36280,36280,4094,,9:15,36420,36490,36240,36320,5219,,9:45,36320,36630,36270,36590,6659,,,,,,,,,,,,,,
24/08/14,8:47,36490,36500,36470,36480,163,,8:51,36450,36510,36440,36510,237,,8:55,36510,36560,36510,36540,430,,9:05,36610,36670,36410,36430,2048,,9:15,36420,36490,36240,36280,3152,,9:25,36270,36420,36240,36320,3173,,9:45,36320,36480,36270,36390,1978,,10:45,36590,36660,36020,36120,9580,,,,,,,,,,,,,,
24/08/14,8:48,36480,36480,36430,36440,89,,8:54,36500,36540,36490,36530,258,,9:00,36550,36640,36460,36610,1583,,9:15,36420,36490,36280,36280,2046,,9:30,36280,36420,36280,36320,2067,,9:45,36320,36420,36270,36390,1318,,10:15,36390,36630,36270,36590,4681,,11:45,36110,36330,36060,36280,2776,,,,,,,,,,,,,,
24/08/14,8:49,36440,36440,36430,36430,17,,8:57,36530,36560,36530,36540,278,,9:05,36610,36670,36550,36590,1010,,9:25,36270,36370,36240,36320,2008,,9:45,36320,36420,36270,36370,1062,,10:05,36400,36480,36270,36410,2901,,10:45,36590,36660,36040,36110,6982,,12:45,36280,36310,36120,36230,2349,,,,,,,,,,,,,,
24/08/14,8:50,36430,36460,36430,36450,32,,9:00,36550,36620,36460,36600,1163,,9:10,36590,36600,36410,36430,1038,,9:35,36320,36420,36300,36320,1165,,10:00,36360,36480,36360,36390,916,,10:25,36410,36630,36390,36590,2440,,11:15,36110,36240,36020,36120,2598,,13:45,36220,36420,36100,36400,3243,,,,,,,,,,,,,,
24/08/14,8:51,36450,36470,36440,36460,57,,9:03,36610,36660,36550,36660,642,,9:15,36420,36490,36350,36490,952,,9:45,36320,36400,36270,36370,688,,10:15,36390,36460,36270,36430,2724,,10:45,36590,36660,36400,36460,2148,,11:45,36110,36180,36060,36090,805,,14:45,36410,36490,36340,36350,4336,,,,,,,,,,,,,,
24/08/14,8:52,36460,36470,36450,36470,53,,9:06,36650,36670,36560,36570,652,,9:20,36480,36490,36280,36280,1094,,9:55,36370,36420,36340,36390,630,,10:30,36440,36630,36400,36590,1957,,11:05,36470,36470,36040,36140,6247,,12:15,36090,36330,36080,36280,1971,,15:15,36380,36380,36380,36380,877,,,,,,,,,,,,,,
24/08/14,8:53,36460,36510,36460,36510,127,,9:09,36580,36600,36480,36490,492,,9:25,36270,36350,36240,36280,1106,,10:05,36400,36480,36370,36390,660,,10:45,36590,36660,36540,36630,1142,,11:25,36150,36190,36020,36120,1185,,12:45,36280,36310,36170,36190,1406,,16:30,36370,36410,36220,36220,1750,,,,,,,,,,,,,,
24/08/14,8:54,36500,36510,36490,36500,106,,9:12,36500,36500,36410,36430,682,,9:30,36280,36370,36280,36320,902,,10:15,36390,36460,36270,36410,2241,,11:00,36620,36620,36040,36110,5840,,11:45,36110,36180,36110,36120,471,,13:15,36190,36260,36120,36230,943,,17:30,36220,36320,36220,36300,602,,,,,,,,,,,,,,
