〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
22/07/12,8:45,26630,26630,26620,26630,694,,8:45,26630,26650,26620,26650,925,,8:45,26630,26660,26620,26660,1084,,8:45,26630,26660,26620,26640,1348,,8:45,26630,26660,26620,26650,1950,,8:45,26630,26680,26540,26570,4686,,8:45,26630,26680,26490,26510,6628,,8:45,26630,26680,26400,26410,11187,,22/07/12,26630,26680,26250,26280,45405,,22/07/12,26290,26550,26240,26420,22910
22/07/12,8:46,26640,26650,26630,26630,153,,8:48,26650,26660,26650,26660,177,,8:50,26660,26660,26640,26640,264,,8:55,26640,26680,26540,26570,3338,,9:00,26650,26680,26490,26510,4678,,9:05,26570,26570,26490,26520,3090,,9:15,26520,26540,26400,26410,4559,,9:45,26410,26420,26300,26340,8289,,,,,,,,,,,,,,
22/07/12,8:47,26640,26650,26640,26650,78,,8:51,26660,26660,26650,26650,242,,8:55,26640,26660,26630,26650,602,,9:05,26570,26570,26490,26510,1942,,9:15,26520,26540,26470,26480,1911,,9:25,26510,26520,26400,26410,3411,,9:45,26410,26420,26300,26330,4968,,10:45,26340,26340,26270,26270,5599,,,,,,,,,,,,,,
22/07/12,8:48,26650,26650,26650,26650,30,,8:54,26640,26640,26630,26630,173,,9:00,26650,26680,26540,26570,2736,,9:15,26520,26540,26500,26520,1148,,9:30,26470,26470,26400,26410,2648,,9:45,26410,26420,26300,26330,3993,,10:15,26340,26380,26310,26340,3321,,11:45,26270,26320,26250,26310,4719,,,,,,,,,,,,,,
22/07/12,8:49,26660,26660,26660,26660,129,,8:57,26640,26660,26630,26650,433,,9:05,26570,26570,26520,26530,1034,,9:25,26510,26520,26420,26430,2015,,9:45,26410,26420,26300,26340,3235,,10:05,26320,26360,26310,26310,2122,,10:45,26340,26340,26290,26320,3203,,12:45,26300,26310,26250,26250,3367,,,,,,,,,,,,,,
22/07/12,8:50,26660,26660,26650,26660,18,,9:00,26650,26680,26550,26550,1642,,9:10,26530,26530,26490,26510,908,,9:35,26420,26440,26400,26410,1396,,10:00,26340,26360,26310,26330,1733,,10:25,26320,26380,26310,26340,2174,,11:15,26310,26340,26270,26270,2396,,13:45,26250,26320,26250,26320,4323,,,,,,,,,,,,,,
22/07/12,8:51,26660,26660,26650,26650,33,,9:03,26550,26590,26530,26550,1380,,9:15,26520,26540,26500,26520,486,,9:45,26410,26420,26300,26310,2486,,10:15,26340,26380,26310,26360,1604,,10:45,26340,26340,26290,26310,2288,,11:45,26270,26320,26250,26270,2352,,14:45,26310,26320,26260,26280,6263,,,,,,,,,,,,,,
22/07/12,8:52,26650,26650,26650,26650,129,,9:06,26550,26560,26520,26530,612,,9:20,26510,26530,26500,26520,662,,9:55,26310,26360,26310,26330,1507,,10:30,26360,26380,26310,26340,1717,,11:05,26320,26340,26310,26320,1642,,12:15,26270,26310,26260,26310,2367,,15:15,26280,26280,26280,26280,1658,,,,,,,,,,,,,,
22/07/12,8:53,26650,26650,26650,26650,80,,9:09,26530,26530,26510,26510,414,,9:25,26510,26520,26470,26480,763,,10:05,26320,26360,26310,26330,975,,10:45,26340,26340,26290,26320,1735,,11:25,26330,26340,26270,26270,1669,,12:45,26300,26310,26250,26280,1861,,16:30,26290,26330,26240,26320,2317,,,,,,,,,,,,,,
22/07/12,8:54,26640,26640,26640,26640,4,,9:12,26510,26530,26490,26510,630,,9:30,26470,26470,26420,26430,1252,,10:15,26340,26360,26310,26310,1147,,11:00,26320,26340,26300,26320,1468,,11:45,26270,26320,26270,26270,1185,,13:15,26280,26300,26250,26250,1506,,17:30,26320,26360,26320,26320,1399,,,,,,,,,,,,,,
