Target Profit,Stop Loss,Total Profit,Success Trades,Failed Trades
12,22,2230.0,1198,1429
12,23,1950.0,1198,1429
12,24,1799.0,1198,1429
13,1,13272.0,1116,1511
13,2,12066.0,1116,1511
13,3,10991.0,1116,1511
13,4,9975.0,1116,1511
13,5,9053.0,1116,1511
13,6,8319.0,1116,1511
13,7,7702.0,1116,1511
13,8,6911.0,1116,1511
13,9,6238.0,1116,1511
13,10,5691.0,1116,1511
13,11,5227.0,1116,1511
13,12,4807.0,1116,1511
13,13,4444.0,1116,1511
13,14,4043.0,1116,1511
13,15,3676.0,1116,1511
13,16,3498.0,1116,1511
13,17,3252.0,1116,1511
13,18,3085.0,1116,1511
13,19,2855.0,1116,1511
13,20,2641.0,1116,1511
13,21,2460.0,1116,1511
13,22,2332.0,1116,1511
13,23,2041.0,1116,1511
13,24,1881.0,1116,1511
14,1,13145.0,1030,1597
14,2,11918.0,1030,1597
14,3,10820.0,1030,1597
14,4,9770.0,1030,1597
14,5,8841.0,1030,1597
14,6,8146.0,1030,1597
14,7,7525.0,1030,1597
14,8,6728.0,1030,1597
14,9,6107.0,1030,1597
14,10,5527.0,1030,1597
14,11,5072.0,1030,1597
14,12,4640.0,1030,1597
14,13,4280.0,1030,1597
14,14,3882.0,1030,1597
14,15,3516.0,1030,1597
14,16,3343.0,1030,1597
14,17,3075.0,1030,1597
14,18,2909.0,1030,1597
14,19,2667.0,1030,1597
14,20,2455.0,1030,1597
14,21,2274.0,1030,1597
14,22,2158.0,1030,1597
14,23,1853.0,1030,1597
14,24,1707.0,1030,1597
15,1,13140.0,959,1668
15,2,11907.0,959,1668
15,3,10863.0,959,1668
15,4,9851.0,959,1668
15,5,8954.0,959,1668
15,6,8276.0,959,1668
15,7,7626.0,959,1668
15,8,6840.0,959,1668
15,9,6208.0,959,1668
15,10,5624.0,959,1668
15,11,5191.0,959,1668
15,12,4803.0,959,1668
15,13,4479.0,959,1668
15,14,4113.0,959,1668
15,15,3751.0,959,1668
15,16,3577.0,959,1668
15,17,3327.0,959,1668
15,18,3154.0,959,1668
15,19,2905.0,959,1668
15,20,2719.0,959,1668
15,21,2532.0,959,1668
15,22,2410.0,959,1668
15,23,2099.0,959,1668
15,24,1947.0,959,1668
16,1,13264.0,904,1723
16,2,12067.0,904,1723
16,3,11062.0,904,1723
16,4,10061.0,904,1723
16,5,9193.0,904,1723
16,6,8521.0,904,1723
16,7,7902.0,904,1723
16,8,7114.0,904,1723
16,9,6464.0,904,1723
16,10,5876.0,904,1723
16,11,5445.0,904,1723
16,12,5060.0,904,1723
16,13,4722.0,904,1723
16,14,4342.0,904,1723
16,15,4016.0,904,1723
16,16,3830.0,904,1723
16,17,3568.0,904,1723
16,18,3452.0,904,1723
16,19,3194.0,904,1723
16,20,3004.0,904,1723
16,21,2809.0,904,1723
16,22,2694.0,904,1723
16,23,2378.0,904,1723
16,24,2245.0,904,1723
17,1,12827.0,828,1799
17,2,11663.0,828,1799
17,3,10772.0,828,1799
17,4,9802.0,828,1799
17,5,8924.0,828,1799
17,6,8268.0,828,1799
17,7,7691.0,828,1799
17,8,6917.0,828,1799
17,9,6301.0,828,1799
17,10,5700.0,828,1799
17,11,5287.0,828,1799
17,12,4891.0,828,1799
17,13,4534.0,828,1799
17,14,4152.0,828,1799
17,15,3841.0,828,1799
17,16,3691.0,828,1799
17,17,3457.0,828,1799
17,18,3329.0,828,1799
17,19,3108.0,828,1799
17,20,2921.0,828,1799
17,21,2717.0,828,1799
17,22,2593.0,828,1799
17,23,2268.0,828,1799
17,24,2149.0,828,1799
18,1,12647.0,770,1857
18,2,11483.0,770,1857
18,3,10610.0,770,1857
18,4,9688.0,770,1857
18,5,8788.0,770,1857
18,6,8203.0,770,1857
18,7,7613.0,770,1857
18,8,6837.0,770,1857
18,9,6318.0,770,1857
18,10,5749.0,770,1857
18,11,5352.0,770,1857
18,12,5016.0,770,1857
18,13,4669.0,770,1857
18,14,4296.0,770,1857
18,15,3987.0,770,1857
18,16,3857.0,770,1857
18,17,3616.0,770,1857
18,18,3513.0,770,1857
18,19,3289.0,770,1857
18,20,3097.0,770,1857
18,21,2888.0,770,1857
18,22,2759.0,770,1857
18,23,2429.0,770,1857
18,24,2305.0,770,1857
19,1,12314.0,710,1917
19,2,11180.0,710,1917
19,3,10312.0,710,1917
19,4,9401.0,710,1917
19,5,8566.0,710,1917
19,6,7956.0,710,1917
19,7,7389.0,710,1917
19,8,6642.0,710,1917
19,9,6139.0,710,1917
19,10,5566.0,710,1917
19,11,5154.0,710,1917
19,12,4841.0,710,1917
19,13,4483.0,710,1917
19,14,4142.0,710,1917
19,15,3819.0,710,1917
19,16,3693.0,710,1917
19,17,3447.0,710,1917
19,18,3332.0,710,1917
19,19,3128.0,710,1917
19,20,2944.0,710,1917
19,21,2729.0,710,1917
19,22,2593.0,710,1917
19,23,2256.0,710,1917
19,24,2134.0,710,1917
20,1,11791.0,645,1982
20,2,10667.0,645,1982
20,3,9826.0,645,1982
20,4,8956.0,645,1982
20,5,8181.0,645,1982
20,6,7593.0,645,1982
20,7,7013.0,645,1982
20,8,6367.0,645,1982
20,9,5891.0,645,1982
20,10,5361.0,645,1982
20,11,4944.0,645,1982
20,12,4669.0,645,1982
20,13,4320.0,645,1982
20,14,4006.0,645,1982
20,15,3672.0,645,1982
20,16,3558.0,645,1982
20,17,3302.0,645,1982
20,18,3209.0,645,1982
20,19,2997.0,645,1982
20,20,2843.0,645,1982
20,21,2621.0,645,1982
20,22,2518.0,645,1982
20,23,2176.0,645,1982
20,24,2049.0,645,1982
21,1,11343.0,592,2035
21,2,10241.0,592,2035
21,3,9424.0,592,2035
21,4,8686.0,592,2035
21,5,7954.0,592,2035
21,6,7365.0,592,2035
21,7,6776.0,592,2035
21,8,6152.0,592,2035
21,9,5675.0,592,2035
21,10,5142.0,592,2035
21,11,4735.0,592,2035
21,12,4464.0,592,2035
21,13,4114.0,592,2035
21,14,3787.0,592,2035
21,15,3447.0,592,2035
21,16,3350.0,592,2035
21,17,3145.0,592,2035
21,18,3054.0,592,2035
21,19,2835.0,592,2035
21,20,2674.0,592,2035
21,21,2447.0,592,2035
21,22,2338.0,592,2035
21,23,1990.0,592,2035
21,24,1857.0,592,2035
22,1,10908.0,544,2083
22,2,9876.0,544,2083
22,3,9124.0,544,2083
22,4,8520.0,544,2083
22,5,7778.0,544,2083
22,6,7186.0,544,2083
22,7,6625.0,544,2083
22,8,6012.0,544,2083
22,9,5523.0,544,2083
22,10,5062.0,544,2083
22,11,4643.0,544,2083
22,12,4360.0,544,2083
22,13,3998.0,544,2083
22,14,3677.0,544,2083
22,15,3373.0,544,2083
22,16,3267.0,544,2083
22,17,3053.0,544,2083
22,18,2953.0,544,2083
22,19,2744.0,544,2083
22,20,2576.0,544,2083
22,21,2342.0,544,2083
22,22,2254.0,544,2083
22,23,1912.0,544,2083
22,24,1777.0,544,2083
23,1,10802.0,513,2114
23,2,9822.0,513,2114
23,3,9157.0,513,2114
23,4,8564.0,513,2114
23,5,7858.0,513,2114
23,6,7273.0,513,2114
23,7,6722.0,513,2114
23,8,6101.0,513,2114
23,9,5636.0,513,2114
23,10,5169.0,513,2114
23,11,4744.0,513,2114
23,12,4475.0,513,2114
23,13,4133.0,513,2114
23,14,3831.0,513,2114
23,15,3524.0,513,2114
23,16,3415.0,513,2114
23,17,3203.0,513,2114
23,18,3101.0,513,2114
23,19,2890.0,513,2114
23,20,2720.0,513,2114
23,21,2484.0,513,2114
23,22,2394.0,513,2114
23,23,2050.0,513,2114
23,24,1913.0,513,2114
24,1,10687.0,484,2143
24,2,9725.0,484,2143
24,3,9086.0,484,2143
24,4,8476.0,484,2143
24,5,7804.0,484,2143
24,6,7214.0,484,2143
24,7,6669.0,484,2143
24,8,6036.0,484,2143
24,9,5559.0,484,2143
24,10,5080.0,484,2143
24,11,4643.0,484,2143
24,12,4417.0,484,2143
24,13,4065.0,484,2143
24,14,3753.0,484,2143
24,15,3436.0,484,2143
24,16,3317.0,484,2143
24,17,3095.0,484,2143
24,18,3014.0,484,2143
24,19,2795.0,484,2143
24,20,2620.0,484,2143
24,21,2377.0,484,2143
24,22,2280.0,484,2143
24,23,2012.0,484,2143
24,24,1870.0,484,2143
25,1,10478.0,453,2174
25,2,9524.0,453,2174
25,3,8943.0,453,2174
25,4,8331.0,453,2174
25,5,7670.0,453,2174
25,6,7128.0,453,2174
25,7,6640.0,453,2174
25,8,6055.0,453,2174
25,9,5602.0,453,2174
25,10,5143.0,453,2174
25,11,4700.0,453,2174
25,12,4468.0,453,2174
25,13,4110.0,453,2174
25,14,3792.0,453,2174
25,15,3481.0,453,2174
25,16,3392.0,453,2174
25,17,3166.0,453,2174
25,18,3081.0,453,2174
25,19,2858.0,453,2174
25,20,2679.0,453,2174
25,21,2432.0,453,2174
25,22,2331.0,453,2174
25,23,2059.0,453,2174
25,24,1913.0,453,2174
26,1,10051.0,416,2211
26,2,9110.0,416,2211
26,3,8549.0,416,2211
26,4,7995.0,416,2211
26,5,7436.0,416,2211
26,6,6879.0,416,2211
26,7,6408.0,416,2211
26,8,5848.0,416,2211
26,9,5383.0,416,2211
26,10,4919.0,416,2211
26,11,4465.0,416,2211
26,12,4238.0,416,2211
26,13,3905.0,416,2211
26,14,3578.0,416,2211
26,15,3258.0,416,2211
26,16,3176.0,416,2211
26,17,2978.0,416,2211
26,18,2886.0,416,2211
26,19,2656.0,416,2211
26,20,2470.0,416,2211
26,21,2221.0,416,2211
26,22,2114.0,416,2211
26,23,1836.0,416,2211
26,24,1684.0,416,2211
27,1,9786.0,391,2236
27,2,8952.0,391,2236
27,3,8407.0,391,2236
27,4,7850.0,391,2236
27,5,7323.0,391,2236
27,6,6777.0,391,2236
27,7,6302.0,391,2236
27,8,5788.0,391,2236
27,9,5321.0,391,2236
27,10,4872.0,391,2236
27,11,4411.0,391,2236
27,12,4185.0,391,2236
27,13,3846.0,391,2236
27,14,3530.0,391,2236
27,15,3246.0,391,2236
27,16,3160.0,391,2236
27,17,2958.0,391,2236
27,18,2862.0,391,2236
27,19,2634.0,391,2236
27,20,2445.0,391,2236
27,21,2193.0,391,2236
27,22,2083.0,391,2236
27,23,1802.0,391,2236
27,24,1647.0,391,2236
28,1,9652.0,372,2255
28,2,8844.0,372,2255
28,3,8388.0,372,2255
28,4,7822.0,372,2255
28,5,7284.0,372,2255
28,6,6727.0,372,2255
28,7,6284.0,372,2255
28,8,5761.0,372,2255
28,9,5323.0,372,2255
28,10,4919.0,372,2255
28,11,4453.0,372,2255
28,12,4244.0,372,2255
28,13,3901.0,372,2255
28,14,3581.0,372,2255
28,15,3293.0,372,2255
28,16,3203.0,372,2255
28,17,3022.0,372,2255
28,18,2923.0,372,2255
28,19,2692.0,372,2255
28,20,2500.0,372,2255
28,21,2245.0,372,2255
28,22,2132.0,372,2255
28,23,1848.0,372,2255
28,24,1690.0,372,2255
29,1,9103.0,339,2288
29,2,8430.0,339,2288
29,3,8010.0,339,2288
29,4,7438.0,339,2288
29,5,6939.0,339,2288
29,6,6398.0,339,2288
29,7,5982.0,339,2288
29,8,5471.0,339,2288
29,9,5049.0,339,2288
29,10,4635.0,339,2288
29,11,4198.0,339,2288
29,12,4047.0,339,2288
29,13,3727.0,339,2288
29,14,3401.0,339,2288
29,15,3147.0,339,2288
29,16,3052.0,339,2288
29,17,2866.0,339,2288
29,18,2762.0,339,2288
29,19,2566.0,339,2288
29,20,2370.0,339,2288
29,21,2111.0,339,2288
29,22,1994.0,339,2288
29,23,1706.0,339,2288
29,24,1544.0,339,2288
30,1,8699.0,312,2315
30,2,8025.0,312,2315
30,3,7645.0,312,2315
30,4,7112.0,312,2315
30,5,6634.0,312,2315
30,6,6108.0,312,2315
30,7,5699.0,312,2315
30,8,5174.0,312,2315
30,9,4763.0,312,2315
30,10,4372.0,312,2315
30,11,3923.0,312,2315
30,12,3760.0,312,2315
30,13,3428.0,312,2315
30,14,3114.0,312,2315
30,15,2874.0,312,2315
30,16,2816.0,312,2315
30,17,2663.0,312,2315
30,18,2580.0,312,2315
30,19,2384.0,312,2315
30,20,2185.0,312,2315
30,21,1923.0,312,2315
30,22,1803.0,312,2315
30,23,1512.0,312,2315
30,24,1347.0,312,2315
