Trade Type,Entry Price,Exit Price,Profit/Loss,Target Reached,Stop Loss Triggered,Session,Date,Time
Buy,9174.0,9197.0,23.0,True,False,Morning,2025-02-25,09:10:00
Sell,9187.0,9164.0,23.0,True,False,Morning,2025-02-25,09:15:00
Buy,9094.0,9117.0,23.0,True,False,Morning,2025-02-25,09:20:00
Buy,9085.0,9108.0,23.0,True,False,Morning,2025-02-25,09:25:00
Sell,9106.0,9108.0,-2.0,False,True,Morning,2025-02-25,09:30:00
Buy,9102.0,9125.0,23.0,True,False,Morning,2025-02-25,09:35:00
Sell,9123.0,9125.0,-2.0,False,True,Morning,2025-02-25,09:40:00
Sell,9159.0,9161.0,-2.0,False,True,Morning,2025-02-25,09:45:00
Sell,9239.0,9241.0,-2.0,False,True,Morning,2025-02-25,09:50:00
Sell,9253.0,9255.0,-2.0,False,True,Morning,2025-02-25,09:55:00
Sell,9286.0,9288.0,-2.0,False,True,Morning,2025-02-25,10:00:00
Sell,9298.0,9300.0,-2.0,False,True,Morning,2025-02-25,10:05:00
Buy,9296.0,9294.0,-2.0,False,True,Morning,2025-02-25,10:10:00
Buy,9250.0,9273.0,23.0,True,False,Morning,2025-02-25,10:15:00
Buy,9229.0,9252.0,23.0,True,False,Morning,2025-02-25,10:20:00
Buy,9215.0,9238.0,23.0,True,False,Morning,2025-02-25,10:25:00
Sell,9256.0,9258.0,-2.0,False,True,Morning,2025-02-25,10:30:00
Buy,9255.0,9253.0,-2.0,False,True,Morning,2025-02-25,10:35:00
Buy,9240.0,9263.0,23.0,True,False,Morning,2025-02-25,10:40:00
Sell,9247.0,9249.0,-2.0,False,True,Morning,2025-02-25,10:45:00
Sell,9250.0,9227.0,23.0,True,False,Morning,2025-02-25,10:50:00
Buy,9245.0,9243.0,-2.0,False,True,Morning,2025-02-25,10:55:00
Buy,9217.0,9223.0,6.0,False,False,Morning,2025-02-25,11:00:00
Sell,9224.0,9226.0,-2.0,False,True,Morning,2025-02-25,11:05:00
Sell,9254.0,9256.0,-2.0,False,True,Morning,2025-02-25,11:10:00
Buy,9251.0,9249.0,-2.0,False,True,Morning,2025-02-25,11:15:00
Sell,9259.0,9236.0,23.0,True,False,Morning,2025-02-25,11:20:00
Buy,9234.0,9232.0,-2.0,False,True,Morning,2025-02-25,11:25:00
Buy,9157.0,9156.0,-1.0,False,False,Morning,2025-02-25,11:30:00
Buy,9130.0,9153.0,23.0,True,False,Afternoon,2025-02-25,12:30:00
Sell,9154.0,9131.0,23.0,True,False,Afternoon,2025-02-25,12:35:00
Buy,9149.0,9147.0,-2.0,False,True,Afternoon,2025-02-25,12:40:00
Buy,9129.0,9127.0,-2.0,False,True,Afternoon,2025-02-25,12:45:00
Buy,9105.0,9103.0,-2.0,False,True,Afternoon,2025-02-25,12:50:00
Buy,9080.0,9078.0,-2.0,False,True,Afternoon,2025-02-25,12:55:00
Buy,9064.0,9062.0,-2.0,False,True,Afternoon,2025-02-25,13:00:00
Buy,9046.0,9069.0,23.0,True,False,Afternoon,2025-02-25,13:05:00
Sell,9081.0,9058.0,23.0,True,False,Afternoon,2025-02-25,13:10:00
