〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
24/10/03,8:45,38780,38960,38760,38960,691,,8:45,38780,39010,38760,38950,1088,,8:45,38780,39010,38760,38930,1428,,8:45,38780,39010,38760,38980,1843,,8:45,38780,39030,38760,38960,2562,,8:45,38780,39030,38760,38910,4687,,8:45,38780,39030,38700,38700,6922,,8:45,38780,39030,38550,38570,10419,,24/10/03,38780,39030,38510,38600,32805,,24/10/03,38450,38730,38330,38600,15233
24/10/03,8:46,38950,39010,38950,38970,281,,8:48,38950,38960,38910,38940,386,,8:50,38930,39000,38920,38980,415,,8:55,38980,39030,38910,38910,2844,,9:00,38950,39020,38700,38700,4360,,9:05,38910,38920,38570,38630,3616,,9:15,38700,38710,38550,38570,3497,,9:45,38570,38820,38510,38650,7344,,,,,,,,,,,,,,
24/10/03,8:47,38970,38980,38950,38950,116,,8:51,38940,39000,38920,38970,306,,8:55,38980,39030,38960,38960,719,,9:05,38910,38920,38700,38700,2235,,9:15,38700,38710,38570,38620,1856,,9:25,38630,38680,38550,38570,2116,,9:45,38570,38790,38510,38710,3947,,10:45,38650,38740,38610,38710,2638,,,,,,,,,,,,,,
24/10/03,8:48,38950,38950,38910,38930,128,,8:54,38980,39030,38980,39010,304,,9:00,38950,39020,38910,38910,2125,,9:15,38700,38710,38570,38630,1381,,9:30,38620,38680,38550,38570,1641,,9:45,38570,38730,38510,38720,2586,,10:15,38720,38820,38620,38650,3397,,11:45,38700,38740,38570,38570,2550,,,,,,,,,,,,,,
24/10/03,8:49,38940,38960,38920,38930,212,,8:57,39010,39030,38960,38960,478,,9:05,38910,38920,38760,38810,1437,,9:25,38630,38680,38600,38650,1134,,9:45,38570,38650,38510,38640,2103,,10:05,38730,38810,38690,38800,2538,,10:45,38650,38740,38610,38650,1520,,12:45,38570,38710,38570,38660,1845,,,,,,,,,,,,,,
24/10/03,8:50,38930,38940,38930,38940,46,,9:00,38950,39020,38910,38950,1449,,9:10,38810,38810,38700,38700,798,,9:35,38660,38680,38550,38570,982,,10:00,38640,38790,38640,38710,1844,,10:25,38790,38820,38620,38650,2220,,11:15,38650,38740,38620,38710,1118,,13:45,38660,38670,38560,38610,2385,,,,,,,,,,,,,,
24/10/03,8:51,38940,38940,38920,38930,73,,9:03,38950,38990,38810,38820,1237,,9:15,38700,38710,38570,38640,869,,9:45,38570,38610,38510,38590,1061,,10:15,38720,38820,38710,38710,1604,,10:45,38650,38740,38610,38650,1222,,11:45,38700,38740,38640,38680,839,,14:45,38620,38650,38540,38630,4413,,,,,,,,,,,,,,
24/10/03,8:52,38930,39000,38920,38990,135,,9:06,38810,38830,38760,38790,713,,9:20,38640,38680,38630,38630,512,,9:55,38590,38730,38560,38720,1525,,10:30,38730,38730,38620,38650,1793,,11:05,38660,38700,38620,38660,864,,12:15,38680,38720,38570,38570,1711,,15:15,38600,38600,38600,38600,1211,,,,,,,,,,,,,,
24/10/03,8:53,38990,38990,38970,38970,98,,9:09,38790,38810,38750,38750,553,,9:25,38630,38650,38600,38620,475,,10:05,38730,38790,38690,38710,1361,,10:45,38650,38740,38610,38700,946,,11:25,38660,38740,38660,38710,552,,12:45,38570,38710,38570,38680,1179,,16:30,38450,38480,38350,38390,2606,,,,,,,,,,,,,,
24/10/03,8:54,38980,38990,38980,38980,63,,9:12,38750,38780,38700,38700,408,,9:30,38620,38680,38600,38650,659,,10:15,38720,38810,38720,38800,1177,,11:00,38700,38720,38650,38650,574,,11:45,38700,38740,38640,38640,686,,13:15,38680,38690,38630,38660,666,,17:30,38380,38480,38360,38470,1104,,,,,,,,,,,,,,
