〔日経２２５〕,　〔１分足〕,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,　〔３分足〕,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,　〔５分足〕,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,　〔１０分足〕,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,　〔１５分足〕,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,　〔２０分足〕,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,　〔３０分足〕,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,　〔６０分足〕,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,　〔日中足〕,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,　〔夜間足〕,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
24/04/03,8:45,39600,39620,39590,39590,551,,8:45,39600,39620,39580,39580,748,,8:45,39600,39620,39570,39600,849,,8:45,39600,39620,39570,39570,1194,,8:45,39600,39620,39550,39560,1500,,8:45,39600,39620,39360,39360,4559,,8:45,39600,39620,39300,39350,8402,,8:45,39600,39620,39240,39580,14439,,24/04/03,39600,39660,39240,39530,40309,,24/04/03,39550,40090,39540,40000,16784
24/04/03,8:46,39600,39610,39590,39610,71,,8:48,39570,39600,39570,39590,133,,8:50,39600,39600,39570,39570,345,,8:55,39570,39570,39360,39360,3365,,9:00,39560,39560,39300,39350,6902,,9:05,39360,39420,39240,39420,6319,,9:15,39340,39620,39240,39580,6037,,9:45,39570,39630,39310,39510,8022,,,,,,,,,,,,,,
24/04/03,8:47,39600,39600,39580,39580,126,,8:51,39590,39600,39570,39570,246,,8:55,39570,39570,39550,39560,306,,9:05,39360,39400,39300,39350,3843,,9:15,39340,39490,39240,39490,3320,,9:25,39420,39620,39420,39580,3561,,9:45,39570,39630,39420,39420,4049,,10:45,39520,39550,39380,39530,3620,,,,,,,,,,,,,,
24/04/03,8:48,39570,39590,39570,39590,47,,8:54,39580,39590,39550,39550,156,,9:00,39560,39560,39360,39360,3059,,9:15,39340,39420,39240,39420,2476,,9:30,39490,39620,39440,39580,2717,,9:45,39570,39630,39530,39530,2755,,10:15,39410,39510,39310,39510,3973,,11:45,39530,39630,39470,39620,2636,,,,,,,,,,,,,,
24/04/03,8:49,39600,39600,39600,39600,54,,8:57,39560,39570,39550,39560,217,,9:05,39360,39400,39300,39380,2347,,9:25,39420,39510,39420,39500,1646,,9:45,39570,39630,39530,39570,2120,,10:05,39530,39540,39310,39380,3229,,10:45,39520,39550,39400,39410,2117,,12:45,39610,39660,39560,39590,3457,,,,,,,,,,,,,,
24/04/03,8:50,39600,39600,39590,39590,32,,9:00,39560,39560,39420,39460,1964,,9:10,39380,39400,39310,39350,1496,,9:35,39510,39620,39510,39580,1915,,10:00,39580,39580,39420,39420,1929,,10:25,39380,39510,39360,39510,2038,,11:15,39400,39530,39380,39530,1503,,13:45,39600,39660,39470,39490,3947,,,,,,,,,,,,,,
24/04/03,8:51,39590,39600,39580,39600,42,,9:03,39460,39490,39300,39310,1868,,9:15,39340,39370,39240,39350,1663,,9:45,39570,39630,39530,39630,1341,,10:15,39410,39470,39310,39470,2481,,10:45,39520,39550,39450,39450,1422,,11:45,39530,39560,39500,39550,698,,14:45,39490,39520,39470,39500,3211,,,,,,,,,,,,,,
24/04/03,8:52,39590,39590,39580,39580,143,,9:06,39310,39370,39300,39370,1238,,9:20,39350,39420,39350,39420,813,,9:55,39630,39630,39530,39530,1414,,10:30,39470,39510,39400,39510,1492,,11:05,39460,39470,39380,39460,1334,,12:15,39550,39630,39470,39620,1938,,15:15,39530,39530,39530,39530,977,,,,,,,,,,,,,,
24/04/03,8:53,39580,39580,39570,39570,61,,9:09,39380,39400,39310,39320,1092,,9:25,39420,39490,39420,39490,844,,10:05,39530,39540,39420,39420,1294,,10:45,39520,39550,39450,39470,1152,,11:25,39470,39530,39450,39530,864,,12:45,39610,39660,39560,39610,2258,,16:30,39550,39620,39540,39610,1361,,,,,,,,,,,,,,
