ticker,company_name,net_return_30_days
212A.T,フィットイージー（株）,-239.10999999999999
211A.T,（株）カドス・コーポレーション,321.30999999999995
206A.T,（株）PRISM BioLab,-42.96999999999998
205A.T,（株）ロゴスホールディングス,-386.69999999999993
202A.T,（株）豆蔵デジタルホールディングス,-278.51000000000005
196A.T,（株）ＭＦＳ,-70.35000000000001
194A.T,（株）WOLVES HAND,-185.37000000000003
197A.T,（株）タウンズ,-115.19
198A.T,ＰｏｓｔＰｒｉｍｅ（株）,-43.610000000000056
195A.T,（株）ライスカレー,-169.09999999999997
192A.T,インテグループ（株）,-1508.85
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ（株）,-120.8
189A.T,（株）Ｄ＆Ｍカンパニー,-12.22000000000003
186A.T,（株）アストロスケールホールディングス,312.65999999999997
184A.T,（株）学びエイド,309.44
177A.T,コージンバイオ（株）,-324.2900000000001
176A.T,レジル（株）,-636.05
175A.T,（株）Will Smart,-172.38000000000002
173A.T,（株）ハンモック,225.05999999999997
168A.T,（株）イタミアート,127.72999999999999
160A.T,（株）アズパートナーズ,-109.38999999999993
156A.T,マテリアルグループ（株）,-228.06999999999996
157A.T,グリーンモンスター（株）,108.87999999999997
153A.T,（株）カウリス,-221.8599999999999
155A.T,（株）情報戦略テクノロジー,-12.39
146A.T,コロンビア・ワークス（株）,-108.30000000000007
149A.T,（株）シンカ,422.53000000000003
151A.T,（株）ダイブ,-193.11668640136725
145A.T,（株）L is B,314.47
147A.T,（株）ソラコム,4.34999999999981
148A.T,（株）ハッチ・ワーク,251.07000000000002
150A.T,（株）ＪＳＨ,14.579999999999973
143A.T,イシン（株）,441.87999999999994
142A.T,（株）ジンジブ,-27.555000000000035
141A.T,（株）トライアルホールディングス,-913.8399999999999
5858.T,（株）ＳＴＧ,56.970000000000034
137A.T,Cocolive（株）,1702.0
138A.T,光フードサービス（株）,-1362.2499999999998
135A.T,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,-818.4000000000002
130A.T,（株）Veritas In Silico,609.54
5871.T,SOLIZE（株）,-1438.6999999999998
5892.T,（株）yutori,-6.743372802734406
5870.T,（株）ナルネットコミュニケーションズ,-295.15000000000003
9223.T,（株）ASNOVA,-84.51
5621.T,（株）ヒューマンテクノロジーズ,-365.19
5869.T,（株）早稲田学習研究会,-270.92
5619.T,マーソ（株）,-627.03
5618.T,ナイル（株）,163.69000000000003
5868.T,（株）ロココ,-82.72000000000006
5867.T,（株）エスネットワークス,-61.70000000000002
5616.T,（株）雨風太陽,-530.9300000000001
5599.T,Ｓ＆Ｊ（株）,-123.47000000000003
5891.T,（株）魁力屋,-1484.1
5596.T,アウトルックコンサルティング（株）,3.8900000000000095
5597.T,ブルーイノベーション（株）,480.1799999999999
5595.T,（株）ＱＰＳ研究所,-423.28000000000003
4197.T,（株）アスマーク,-963.04
9238.T,バリュークリエーション（株）,183.86
5889.T,Japan Eyewear Holdings（株）,-54.260000000000005
5888.T,ＤＡＩＷＡ　ＣＹＣＬＥ（株）,-270.02000000000004
4811.T,（株）ドリーム・アーツ,-677.35
9237.T,（株）笑美面,-5.0499999999999865
5845.T,全保連（株）,-338.1000000000001
6525.T,（株）KOKUSAI ELECTRIC,-1319.47
9236.T,ジャパンＭ＆Ａソリューション（株）,-1041.4099999999999
