sequence_length,mean,median,std
20,1.0318886209376918,1.0098055893258575,0.08913103590824749
50,1.0312335546803846,1.0066944705891578,0.07460590464833743
100,1.0441321039236298,1.0094751364087222,0.12792504817183623
