ticker,sequence_length,lookahead_period,scaling_factor,threshold,cumulative_return,sharpe_ratio,trade_count,total_cost,pred_return_std
7203.T,20,3,50,0.05,1.0085945289045353,3.455972397127284,139,0.001458756416104734,0.000401127205832487
7203.T,20,3,50,0.1,0.9978117262991943,-2.3275530756591385,40,0.0008876717183738947,0.0005026879109898547
7203.T,20,3,50,0.2,1.0045051932338345,4.1511053682771,6,0.0005083421245217323,0.0005705129990835958
7203.T,20,3,100,0.05,1.0097704493446693,1.7820945319744883,337,0.005131980520673096,0.0004168163077765383
7203.T,20,3,100,0.1,1.0153402941646412,3.3204273832286266,113,0.0028070448432117702,0.00034401273252025836
7203.T,20,3,100,0.2,1.0079421786132758,3.3152377662477606,37,0.0017173465341329575,0.0005559939072299989
7203.T,20,3,200,0.05,0.9686672660779412,-3.4511669266330327,460,0.011163337051402778,0.000491605501916681
7203.T,20,3,200,0.1,1.0615794162261294,4.832828629925108,382,0.013250874355435371,0.0006373382945841598
7203.T,20,3,200,0.2,0.9923057311978677,-0.8763454414462378,195,0.013981790514662862,0.0005290571377442986
7203.T,20,5,50,0.05,1.0095954362577098,2.6308063897091647,236,0.002003140258602798,0.0005019049696801962
7203.T,20,5,50,0.1,0.9949965600837337,-5.61532668666356,31,0.0011033877963200212,0.0004897432818946419
7203.T,20,5,50,0.2,1.0,0.0,0,0.0,0.0007230270138335773
7203.T,20,5,100,0.05,1.0524276857188815,4.214272234410796,406,0.0054829025466460735,0.0006643056763209096
7203.T,20,5,100,0.1,1.0811443042713256,5.303829550287571,402,0.006889539875555783,0.0008816369357310888
7203.T,20,5,100,0.2,1.0260461303373818,2.1428898658364375,192,0.009388037491589785,0.0010158361234374948
7203.T,20,5,200,0.05,1.068921782067466,3.2004904838877537,462,0.007286753470543772,0.0006034873576231444
7203.T,20,5,200,0.1,1.0641426572056067,4.253233931383218,436,0.008438724908046424,0.00046327442115421676
7203.T,20,5,200,0.2,1.0083101184294567,0.729819288010513,335,0.01653552008792758,0.0005700298595938899
7203.T,20,10,50,0.05,1.0242913153382183,2.893924343130372,432,0.003601868823170662,0.0008602315017656125
7203.T,20,10,50,0.1,1.0822434775456038,5.718798155920748,262,0.003355422196909785,0.0012379001610493309
7203.T,20,10,50,0.2,1.0016786440915026,2.151753782803222,13,0.0012864972464740278,0.0009521411233848968
7203.T,20,10,100,0.05,1.1242544989860135,5.369973318251995,466,0.008276281191501766,0.001008651172256125
7203.T,20,10,100,0.1,1.0336325248927771,1.6370551711416008,422,0.009995692875236273,0.0010982517066729272
7203.T,20,10,100,0.2,0.995250094040081,-0.26105497702662567,203,0.01079617573413998,0.0009435728468193588
7203.T,20,10,200,0.05,1.2964233545110153,5.108356476969725,506,0.018710806546732784,0.0011387233890868009
7203.T,20,10,200,0.1,1.441978227088191,6.02799819154285,472,0.017539708688855172,0.0013590834155073296
7203.T,20,10,200,0.2,1.8153170794069724,8.572567577174944,478,0.018658550968393684,0.0014353640901752182
7203.T,50,3,50,0.05,0.9962792088424979,-5.763876171034884,38,0.0006623491994105279,0.00025995090685004954
7203.T,50,3,50,0.1,1.0,0.0,0,0.0,0.00023107629820183693
7203.T,50,3,50,0.2,1.0,0.0,0,0.0,0.00031436206615833803
7203.T,50,3,100,0.05,0.990010976754116,-1.0536407247984514,433,0.009653211222030222,0.0007377172302610594
7203.T,50,3,100,0.1,1.0202143633528002,3.375193046924408,361,0.003947927476838231,0.0004932888643382645
7203.T,50,3,100,0.2,1.0035303961404467,1.6850971119580613,47,0.0024448649492114782,0.0004802798621379411
7203.T,50,3,200,0.05,1.0550858009967508,2.571873398395108,501,0.015759025490842758,0.0008522839260932412
7203.T,50,3,200,0.1,1.030152629390667,2.3157865305587273,384,0.00908176233060658,0.000576687119961871
7203.T,50,3,200,0.2,0.9957374778891246,-0.6135030218791844,136,0.010978369833901524,0.0003959650228428217
7203.T,50,5,50,0.05,1.024862454344376,4.783000024966247,294,0.0022295104805380105,0.0005878444363499641
7203.T,50,5,50,0.1,1.0170614181098032,3.37817113560241,115,0.00347819656599313,0.0006204161013465648
7203.T,50,5,50,0.2,1.0,0.0,0,0.0,0.0005895856775517383
7203.T,50,5,100,0.05,1.0703914492906101,6.474656354819586,488,0.005641985847614705,0.0006761179013494718
7203.T,50,5,100,0.1,1.0345340792686046,4.453940615567706,338,0.0049975575413554905,0.0005732226413404265
7203.T,50,5,100,0.2,1.0084106024853372,7.780041798623579,18,0.0012187691871076822,0.000399057448938066
7203.T,50,5,200,0.05,1.0262954137425182,1.5609435609154587,467,0.014044730062596501,0.0007674463966711846
7203.T,50,5,200,0.1,1.157359303357603,4.991856026575205,484,0.006248446553945542,0.0008606957347877895
7203.T,50,5,200,0.2,1.068997107729938,3.6521289779862807,377,0.006199949886649847,0.0005851676374791396
7203.T,50,10,50,0.05,1.1061044549777717,6.590146761582849,445,0.003378844418330118,0.0012794256570198813
7203.T,50,10,50,0.1,1.1210273440814167,7.715017697795658,293,0.004860571469180286,0.001437236734506607
7203.T,50,10,50,0.2,1.0094621127309644,2.1196592607309843,81,0.003961228998377919,0.0012405261687105226
7203.T,50,10,100,0.05,1.1966965453185363,5.850185223198455,476,0.00900884319562465,0.001330047262175788
7203.T,50,10,100,0.1,1.0419523320834772,2.4401644281263994,450,0.005159229855053127,0.000871735703646252
7203.T,50,10,100,0.2,1.1645315306814932,6.367732465919926,293,0.005093224439769984,0.0010777727470613735
7203.T,50,10,200,0.05,1.2333303122127057,5.586076160817375,495,0.010637795575894416,0.0008512193016674784
7203.T,50,10,200,0.1,1.176518510770871,4.410764327935954,427,0.011809463426470757,0.0008296553054565133
7203.T,50,10,200,0.2,1.1191183270632696,2.743871980984075,358,0.015434647607617081,0.001095373450041246
7203.T,100,3,50,0.05,1.0145273471614558,4.759176836668631,308,0.003714215412037447,0.0005143323745142829
7203.T,100,3,50,0.1,0.9969550043650136,-4.246374263827711,40,0.0013212647289037704,0.0004373546048347486
7203.T,100,3,50,0.2,1.0,0.0,0,0.0,0.00039227222887614995
