Metric,Comparison_Mean,Comparison_Std,IPO_Mean,IPO_Std,T-Statistic,P-Value
first_open_price -> price_10_days,0.0013363488591191554,0.058608210752827884,-0.06512089332957342,0.31692613038867473,3.79198006016335,0.00017523718857894615
price_10_days -> price_30_days,0.013442908093754194,0.08652990230420614,-0.022432024958941782,0.26591933545950996,2.3605194090098918,0.01872082785690998
price_30_days -> price_60_days,0.012623448056046205,0.10743311294918162,0.017388158565761293,0.27888588254393165,-0.29343533080854745,0.7693298846971561
price_60_days -> price_90_days,0.0005927377212477225,0.10280477090563976,-0.03368211057873114,0.3145513266493065,1.9057684808518591,0.057384438109019636
price_90_days -> price_180_days,0.041582666580183884,0.18298057221806055,-0.01402052133794395,0.39474403033466443,2.3531424140431607,0.01902350331650689
