comparison_ticker,ipo_ticker,first_open_price,price_10_days,price_30_days,price_60_days,price_90_days,price_180_days,current_price
9064.T,4258.T,2700.0,2705.0,2503.0,2351.0,2429.0,2171.0,2012.0
4503.T,4419.T,1835.0,1859.0,1999.5,1998.5,1952.0,1989.5,1352.5
4523.T,9256.T,7037.0,6587.0,5757.0,6012.0,5592.0,5943.0,3983.0
2914.T,9522.T,2395.0,2329.0,2320.5,2095.5,2258.5,2361.5,4250.0
6479.T,2585.T,3185.0,3315.0,2824.0,2547.0,2472.0,2416.0,2003.5
5802.T,6524.T,1481.0,1637.5,1549.0,1464.0,1434.0,1614.0,2056.0
8604.T,9254.T,492.0,524.0,535.2999877929688,532.0999755859375,491.70001220703125,504.6000061035156,790.9000244140625
7205.T,4417.T,941.0,1011.0,1046.0,721.0,690.0,652.0,428.20001220703125
8053.T,4418.T,1646.5,1714.0,1797.5,2046.5,2104.0,1978.0,3255.0
3086.T,7133.T,949.0,1060.0,1058.0,986.0,1018.0,1220.0,1745.5
4188.T,4415.T,830.0,851.5,895.0,786.4000244140625,793.0,734.5999755859375,663.0
9020.T,4416.T,2404.333251953125,2388.666748046875,2181.333251953125,2326.666748046875,2273.0,2337.0,3186.0
6178.T,7383.T,891.2999877929688,889.4000244140625,981.7000122070312,937.2999877929688,879.0,970.0,1339.5
9613.T,4414.T,2367.0,2405.0,2176.0,2151.0,2369.0,1960.0,2620.5
7453.T,7131.T,1769.0,1825.0,1616.0,1645.0,1242.0,1312.0,4910.0
9532.T,4413.T,1863.0,1872.0,1959.0,2109.0,2082.0,2402.0,3447.0
4689.T,9253.T,797.2999877929688,731.0,638.4000244140625,550.5,514.7000122070312,431.20001220703125,554.0
8001.T,4412.T,3428.0,3514.0,3558.0,3834.0,4055.0,3851.0,6761.0
6098.T,9252.T,7520.0,7199.0,6449.0,4643.0,5599.0,5003.0,7416.0
9502.T,9251.T,1148.0,1169.0,1221.0,1136.0,1269.0,1397.0,1685.0
7004.T,9250.T,848.0,867.0,798.0,778.0,734.0,838.0,850.0
6178.T,2961.T,853.2999877929688,875.2000122070312,890.5999755859375,995.2000122070312,987.5999755859375,956.2999877929688,1339.5
7272.T,4379.T,1061.6666259765625,1015.0,954.6666870117188,905.0,831.6666870117188,862.6666870117188,1100.0
6506.T,4378.T,4995.0,5060.0,5770.0,4900.0,4275.0,4515.0,2672.0
4519.T,6523.T,3929.0,4300.0,3925.0,3825.0,3853.0,3657.0,8328.0
8035.T,9249.T,15846.6669921875,16203.3330078125,20940.0,22486.666015625,18936.666015625,14136.6669921875,19515.0
6920.T,4377.T,23520.0,26800.0,32070.0,34320.0,22000.0,15525.0,12280.0
7752.T,6522.T,1141.0,1169.0,1107.0,1078.0,1037.0,1061.0,1485.0
9202.T,4375.T,2828.0,2764.0,2766.0,2394.5,2650.0,2543.5,2713.0
7832.T,9246.T,2850.0,2702.333251953125,3091.333251953125,3060.666748046875,2673.0,3112.666748046875,5056.0
9107.T,4073.T,825.5555419921875,585.5555419921875,561.111083984375,775.5555419921875,747.7777709960938,907.7777709960938,1826.0
3289.T,4374.T,700.0,675.0,632.0,613.0,650.0,716.0,1001.0
9843.T,9244.T,22490.0,21000.0,21205.0,18465.0,16250.0,11950.0,17300.0
4005.T,9245.T,594.0,568.0,572.0,535.0,586.0,536.0,331.1000061035156
8252.T,4889.T,2104.0,2136.0,2321.0,2105.0,2224.0,2307.0,2884.0
9433.T,4371.T,1887.5,1801.0,1710.5,1712.0,1832.0,2171.5,2555.0
7004.T,4372.T,913.0,823.0,890.0,776.0,763.0,862.0,850.0
9201.T,4373.T,2488.0,2558.0,2511.0,2105.0,2249.0,2232.0,2518.0
4061.T,4370.T,3885.0,4185.0,3895.0,3345.0,3990.0,3195.0,1916.5
6981.T,9242.T,3166.0,3411.666748046875,2928.333251953125,2793.333251953125,3021.0,2766.666748046875,2103.5
6723.T,2934.T,1136.0,1293.0,1306.0,1488.0,1415.0,1452.0,1603.0
8001.T,7126.T,3252.0,3394.0,3169.0,3316.0,3551.0,3635.0,6761.0
6752.T,4076.T,1242.0,1316.0,1286.5,1400.0,1266.0,1142.0,1550.5
1812.T,9241.T,1418.0,1442.0,1436.0,1398.0,1333.0,1371.0,3264.0
9008.T,6227.T,6070.0,6080.0,5920.0,5780.0,5080.0,4995.0,3906.0
9602.T,9240.T,4855.0,4740.0,5220.0,5450.0,5180.0,4835.0,8235.0
