〔日経２２５〕,　〔１分足〕,,,,,,,　〔３分足〕,,,,,,,　〔５分足〕,,,,,,,　〔１０分足〕,,,,,,,　〔１５分足〕,,,,,,,　〔２０分足〕,,,,,,,　〔３０分足〕,,,,,,,　〔６０分足〕,,,,,,,,　〔日中足〕,,,,,,,　〔夜間足〕,,,,
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
22/02/10,8:45,27800,27810,27780,27800,751,,8:45,27800,27810,27780,27790,954,,8:45,27800,27810,27780,27800,1050,,8:45,27800,27810,27770,27780,1327,,8:45,27800,27840,27770,27830,2127,,8:45,27800,27840,27770,27790,3416,,8:45,27800,27850,27770,27790,4910,,8:45,27800,27860,27770,27810,7132,,22/02/10,27800,27860,27560,27700,26620,,22/02/10,27690,27750,27330,27380,25957
22/02/10,8:46,27800,27810,27790,27800,95,,8:48,27790,27810,27780,27810,111,,8:50,27800,27810,27770,27780,277,,8:55,27780,27840,27780,27790,2089,,9:00,27830,27850,27780,27790,2783,,9:05,27790,27850,27770,27850,2229,,9:15,27780,27860,27770,27810,2222,,9:45,27800,27800,27570,27640,6404,,,,,,,,,,,,,,
22/02/10,8:47,27800,27800,27780,27790,108,,8:51,27800,27810,27770,27780,215,,8:55,27780,27840,27780,27830,800,,9:05,27790,27850,27780,27790,1494,,9:15,27780,27850,27770,27820,1142,,9:25,27840,27860,27790,27810,1487,,9:45,27800,27800,27630,27650,3456,,10:45,27630,27680,27560,27610,3143,,,,,,,,,,,,,,
22/02/10,8:48,27790,27790,27780,27790,50,,8:54,27780,27790,27780,27790,103,,9:00,27830,27840,27790,27790,1289,,9:15,27780,27850,27770,27850,735,,9:30,27810,27860,27790,27810,1080,,9:45,27800,27800,27680,27710,2380,,10:15,27660,27670,27570,27640,2948,,11:45,27610,27650,27590,27630,1705,,,,,,,,,,,,,,
22/02/10,8:49,27800,27800,27800,27800,46,,8:57,27800,27840,27800,27830,744,,9:05,27790,27850,27790,27820,705,,9:25,27840,27860,27810,27830,812,,9:45,27800,27800,27680,27710,2108,,10:05,27700,27710,27610,27630,2162,,10:45,27630,27680,27610,27610,1529,,12:45,27630,27660,27620,27660,1586,,,,,,,,,,,,,,
22/02/10,8:50,27800,27810,27800,27810,15,,9:00,27830,27830,27790,27820,880,,9:10,27820,27850,27780,27790,789,,9:35,27820,27840,27790,27810,675,,10:00,27710,27720,27630,27650,1348,,10:25,27630,27650,27570,27640,1862,,11:15,27600,27610,27560,27610,1614,,13:45,27660,27670,27630,27650,1836,,,,,,,,,,,,,,
22/02/10,8:51,27800,27810,27790,27790,66,,9:03,27820,27840,27790,27830,515,,9:15,27780,27800,27770,27790,373,,9:45,27800,27800,27680,27710,1770,,10:15,27660,27670,27610,27630,1412,,10:45,27630,27680,27620,27630,1154,,11:45,27610,27620,27590,27600,482,,14:45,27650,27700,27640,27680,3535,,,,,,,,,,,,,,
22/02/10,8:52,27790,27790,27780,27790,29,,9:06,27820,27850,27810,27810,389,,9:20,27790,27850,27790,27850,362,,9:55,27710,27730,27690,27710,610,,10:30,27620,27650,27570,27640,1536,,11:05,27630,27640,27560,27570,1190,,12:15,27600,27650,27590,27630,1223,,15:15,27700,27700,27700,27700,1279,,,,,,,,,,,,,,
22/02/10,8:53,27790,27790,27770,27780,120,,9:09,27820,27850,27810,27840,510,,9:25,27840,27850,27810,27820,407,,10:05,27700,27710,27630,27650,1076,,10:45,27630,27680,27620,27650,910,,11:25,27560,27610,27560,27610,799,,12:45,27630,27660,27620,27640,822,,16:30,27690,27750,27670,27690,1728,,,,,,,,,,,,,,
22/02/10,8:54,27780,27780,27780,27780,47,,9:12,27840,27850,27780,27790,489,,9:30,27810,27860,27810,27830,405,,10:15,27660,27670,27610,27630,1086,,11:00,27650,27650,27610,27610,619,,11:45,27610,27620,27600,27600,247,,13:15,27640,27660,27640,27660,764,,17:30,27700,27710,27650,27700,1449,,,,,,,,,,,,,,
22/02/10,8:55,27780,27790,27780,27790,23,,9:15,27780,27800,27770,27790,248,,9:35,27820,27840,27810,27820,352,,10:25,27630,27640,27570,27620,1102,,11:15,27600,27610,27560,27580,1204,,12:05,27600,27600,27590,27590,471,,13:45,27660,27670,27640,27650,961,,18:30,27710,27710,27680,27690,475,,,,,,,,,,,,,,
