〔日経２２５〕,　〔１分足〕,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,　〔３分足〕,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,　〔５分足〕,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,　〔１０分足〕,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,　〔１５分足〕,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,　〔２０分足〕,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,　〔３０分足〕,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,　〔６０分足〕,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,　〔日中足〕,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,　〔夜間足〕,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
20/10/28,8:45,23340,23350,23330,23350,972,,8:45,23340,23350,23330,23350,1350,,8:45,23340,23360,23330,23360,1390,,8:45,23340,23360,23330,23360,1508,,8:45,23340,23370,23330,23370,1597,,8:45,23340,23370,23330,23360,2900,,8:45,23340,23390,23330,23390,3928,,8:45,23340,23390,23330,23350,6404,,20/10/28,23340,23440,23330,23420,27965,,20/10/28,23350,23370,23050,23070,38445
20/10/28,8:46,23350,23350,23350,23350,83,,8:48,23350,23360,23350,23350,45,,8:50,23360,23360,23350,23360,118,,8:55,23360,23370,23350,23360,1392,,9:00,23360,23390,23350,23390,2331,,9:05,23360,23390,23360,23370,1611,,9:15,23390,23390,23330,23350,2476,,9:45,23350,23410,23340,23410,3025,,,,,,,,,,,,,,
20/10/28,8:47,23340,23350,23340,23350,295,,8:51,23350,23360,23350,23360,112,,8:55,23360,23370,23360,23370,89,,9:05,23360,23390,23360,23390,1028,,9:15,23390,23390,23370,23370,622,,9:25,23380,23390,23330,23350,1893,,9:45,23350,23390,23340,23390,1537,,10:45,23410,23420,23360,23400,3379,,,,,,,,,,,,,,
20/10/28,8:48,23350,23350,23350,23350,11,,8:54,23360,23360,23360,23360,85,,9:00,23360,23360,23350,23360,1303,,9:15,23390,23390,23370,23370,583,,9:30,23380,23390,23330,23350,1854,,9:45,23350,23380,23340,23370,1150,,10:15,23390,23410,23390,23410,1488,,11:45,23400,23420,23400,23410,1682,,,,,,,,,,,,,,
20/10/28,8:49,23350,23360,23350,23360,29,,8:57,23360,23370,23360,23370,5,,9:05,23360,23380,23360,23370,734,,9:25,23380,23390,23350,23350,423,,9:45,23350,23360,23340,23350,744,,10:05,23370,23410,23370,23400,1216,,10:45,23410,23420,23360,23390,2008,,12:45,23410,23410,23340,23360,3192,,,,,,,,,,,,,,
20/10/28,8:50,23360,23360,23350,23350,5,,9:00,23360,23360,23350,23360,823,,9:10,23370,23390,23370,23390,294,,9:35,23360,23360,23330,23350,1470,,10:00,23360,23390,23360,23390,793,,10:25,23400,23410,23390,23410,659,,11:15,23390,23410,23380,23400,1371,,13:45,23350,23410,23350,23410,3861,,,,,,,,,,,,,,
20/10/28,8:51,23350,23350,23350,23350,0,,9:03,23360,23370,23360,23370,670,,9:15,23390,23390,23370,23370,234,,9:45,23350,23360,23340,23350,461,,10:15,23390,23410,23390,23400,894,,10:45,23410,23420,23380,23380,1384,,11:45,23400,23420,23400,23400,589,,14:45,23420,23440,23400,23420,5351,,,,,,,,,,,,,,
20/10/28,8:52,23360,23360,23360,23360,70,,9:06,23370,23380,23360,23360,260,,9:20,23370,23380,23370,23370,349,,9:55,23350,23380,23350,23370,689,,10:30,23390,23410,23390,23410,594,,11:05,23380,23390,23360,23390,1001,,12:15,23410,23420,23400,23410,1093,,15:15,23420,23420,23420,23420,1071,,,,,,,,,,,,,,
20/10/28,8:53,23360,23360,23360,23360,42,,9:09,23360,23390,23360,23390,463,,9:25,23380,23380,23370,23370,39,,10:05,23370,23390,23370,23390,387,,10:45,23410,23420,23390,23400,976,,11:25,23390,23410,23390,23400,994,,12:45,23410,23410,23380,23390,1099,,16:30,23350,23370,23270,23290,5514,,,,,,,,,,,,,,
20/10/28,8:54,23360,23360,23360,23360,1,,9:12,23390,23390,23380,23390,115,,9:30,23380,23390,23350,23350,384,,10:15,23390,23410,23390,23400,829,,11:00,23390,23390,23360,23390,1032,,11:45,23400,23410,23400,23400,371,,13:15,23390,23390,23340,23360,2093,,17:30,23290,23310,23250,23290,3771,,,,,,,,,,,,,,
20/10/28,8:55,23360,23360,23360,23360,39,,9:15,23390,23390,23380,23380,208,,9:35,23360,23360,23330,23340,1236,,10:25,23400,23410,23390,23390,409,,11:15,23390,23390,23380,23390,613,,12:05,23410,23420,23400,23400,355,,13:45,23350,23380,23350,23380,1767,,18:30,23290,23290,23250,23270,2226,,,,,,,,,,,,,,
20/10/28,8:56,23360,23360,23360,23360,45,,9:18,23380,23380,23370,23370,151,,9:40,23340,23350,23340,23350,234,,10:35,23390,23410,23390,23410,250,,11:30,23400,23410,23390,23400,758,,12:25,23400,23420,23400,23410,956,,14:15,23380,23410,23380,23410,2094,,19:30,23270,23270,23220,23230,1522,,,,,,,,,,,,,,
20/10/28,8:57,23360,23360,23360,23360,0,,9:21,23370,23380,23370,23370,149,,9:45,23350,23360,23340,23360,270,,10:45,23410,23420,23400,23400,827,,11:45,23400,23410,23400,23410,229,,12:45,23410,23410,23390,23400,258,,14:45,23420,23440,23400,23420,5351,,20:30,23240,23260,23220,23240,1440,,,,,,,,,,,,,,
20/10/28,8:58,23360,23360,23360,23360,0,,9:24,23370,23380,23370,23370,101,,9:50,23360,23360,23350,23350,191,,10:55,23400,23400,23380,23380,557,,12:00,23410,23420,23400,23400,360,,13:05,23400,23400,23360,23370,1658,,15:15,23420,23420,23420,23420,1071,,21:30,23230,23240,23170,23220,3151,,,,,,,,,,,,,,
20/10/28,8:59,23360,23370,23360,23370,5,,9:27,23370,23370,23370,23370,13,,9:55,23350,23360,23350,23350,283,,11:05,23380,23390,23360,23390,624,,12:15,23410,23420,23400,23400,239,,13:25,23370,23370,23340,23360,1276,,16:30,23350,23370,23330,23350,2280,,22:30,23220,23260,23110,23110,5094,,,,,,,,,,,,,,
20/10/28,9:00,23360,23360,23350,23360,354,,9:30,23380,23390,23360,23360,326,,10:00,23360,23380,23360,23370,406,,11:15,23390,23390,23380,23390,377,,12:30,23410,23420,23400,23410,854,,13:45,23350,23380,23350,23370,494,,17:00,23350,23360,23270,23290,3234,,23:30,23120,23140,23080,23100,4145,,,,,,,,,,,,,,
20/10/28,9:01,23360,23360,23360,23360,269,,9:33,23360,23360,23350,23350,390,,10:05,23370,23380,23370,23380,22,,11:25,23390,23400,23390,23390,389,,12:45,23410,23410,23400,23410,130,,14:05,23370,23400,23350,23400,1800,,17:30,23290,23300,23250,23300,2776,,0:30,23100,23190,23090,23150,3619,,,,,,,,,,,,,,
20/10/28,9:02,23360,23360,23360,23360,200,,9:36,23350,23350,23330,23330,535,,10:10,23380,23390,23370,23390,365,,11:35,23390,23410,23390,23400,605,,13:00,23410,23410,23380,23390,969,,14:25,23400,23410,23390,23410,1567,,18:00,23290,23310,23280,23290,995,,1:30,23150,23160,23090,23120,2287,,,,,,,,,,,,,,
20/10/28,9:03,23360,23360,23360,23360,135,,9:39,23330,23340,23330,23340,481,,10:15,23390,23410,23390,23400,494,,11:45,23400,23400,23400,23400,39,,13:15,23390,23390,23360,23360,1216,,14:45,23420,23440,23400,23410,4910,,18:30,23290,23290,23250,23270,1380,,2:30,23130,23160,23120,23160,1083,,,,,,,,,,,,,,
20/10/28,9:04,23360,23360,23360,23360,345,,9:42,23340,23350,23340,23350,122,,10:20,23410,23410,23400,23400,335,,11:55,23400,23410,23400,23400,332,,13:30,23360,23360,23340,23360,877,,15:05,23410,23420,23400,23420,441,,19:00,23270,23280,23260,23270,846,,3:30,23160,23170,23110,23130,2402,,,,,,,,,,,,,,
20/10/28,9:05,23360,23370,23360,23370,190,,9:45,23350,23350,23340,23350,124,,10:25,23400,23400,23390,23400,65,,12:05,23410,23420,23400,23400,218,,13:45,23350,23380,23350,23370,394,,15:15,23420,23420,23420,23420,1071,,19:30,23270,23270,23250,23250,692,,4:30,23130,23140,23050,23060,2009,,,,,,,,,,,,,,
20/10/28,9:06,23370,23370,23370,23370,73,,9:48,23350,23360,23350,23360,193,,10:30,23390,23410,23390,23390,344,,12:15,23410,23420,23400,23400,137,,14:00,23370,23380,23350,23380,1373,,16:30,23350,23370,23330,23370,1693,,20:00,23250,23250,23220,23230,830,,5:30,23070,23070,23070,23070,182,,,,,,,,,,,,,,
20/10/28,9:07,23380,23380,23370,23380,80,,9:51,23350,23350,23350,23350,144,,10:35,23390,23400,23390,23400,222,,12:25,23400,23420,23400,23420,228,,14:15,23380,23400,23380,23400,651,,16:50,23370,23370,23330,23330,1175,,20:30,23240,23260,23230,23240,700,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:08,23380,23380,23360,23360,107,,9:54,23350,23360,23350,23360,127,,10:40,23400,23410,23400,23410,28,,12:35,23420,23420,23400,23410,728,,14:30,23400,23410,23390,23410,1443,,17:10,23330,23330,23270,23290,2646,,21:00,23240,23240,23220,23240,740,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:09,23360,23370,23360,23370,284,,9:57,23360,23360,23350,23350,156,,10:45,23410,23420,23400,23400,452,,12:45,23410,23410,23400,23410,99,,14:45,23420,23440,23410,23420,2964,,17:30,23290,23290,23250,23280,1828,,21:30,23230,23240,23170,23190,1865,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:10,23370,23380,23370,23380,133,,10:00,23360,23380,23360,23380,278,,10:50,23400,23410,23400,23400,375,,12:55,23410,23410,23390,23400,159,,15:00,23420,23430,23400,23420,2387,,17:50,23280,23300,23280,23300,1364,,22:00,23180,23230,23170,23220,1286,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:11,23380,23390,23380,23390,46,,10:03,23370,23370,23360,23370,128,,10:55,23400,23400,23390,23400,149,,13:05,23400,23400,23380,23390,841,,15:15,23420,23420,23420,23420,1071,,18:10,23300,23310,23290,23290,579,,22:30,23220,23260,23210,23230,2087,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:12,23390,23390,23380,23380,80,,10:06,23370,23380,23370,23380,18,,11:00,23390,23390,23380,23380,408,,13:15,23390,23390,23360,23370,817,,16:30,23350,23360,23330,23350,1454,,18:30,23290,23290,23260,23260,824,,23:00,23230,23230,23110,23110,3007,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:13,23380,23390,23380,23390,32,,10:09,23380,23380,23370,23380,32,,11:05,23380,23380,23360,23370,344,,13:25,23370,23370,23340,23350,624,,16:45,23340,23370,23340,23350,826,,18:50,23250,23270,23250,23270,934,,23:30,23120,23140,23080,23110,2457,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:14,23390,23390,23390,23390,3,,10:12,23380,23390,23380,23390,337,,11:10,23360,23390,23360,23390,280,,13:35,23350,23360,23350,23360,652,,17:00,23350,23360,23300,23310,1366,,19:10,23270,23280,23270,23270,468,,0:00,23110,23140,23090,23100,1688,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:15,23390,23390,23380,23380,140,,10:15,23390,23400,23390,23390,228,,11:15,23390,23390,23380,23380,166,,13:45,23350,23370,23350,23370,146,,17:15,23300,23300,23270,23290,1868,,19:30,23270,23270,23260,23270,386,,0:30,23100,23190,23090,23180,2292,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:16,23380,23380,23380,23380,1,,10:18,23390,23410,23390,23410,268,,11:20,23380,23390,23380,23390,211,,13:55,23370,23380,23360,23370,348,,17:30,23290,23290,23250,23270,1547,,19:50,23270,23270,23230,23230,799,,1:00,23180,23190,23140,23150,1327,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:17,23380,23380,23380,23380,67,,10:21,23400,23410,23400,23400,232,,11:25,23390,23390,23390,23390,236,,14:05,23370,23380,23350,23380,1273,,17:45,23270,23300,23270,23300,1229,,20:10,23230,23240,23220,23230,337,,1:30,23150,23160,23120,23130,1559,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:18,23380,23380,23380,23380,3,,10:24,23400,23400,23390,23390,135,,11:30,23400,23400,23390,23390,153,,14:15,23380,23400,23380,23400,527,,18:00,23290,23300,23280,23300,524,,20:30,23240,23250,23230,23240,429,,2:00,23130,23130,23090,23120,728,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:19,23380,23380,23370,23370,23,,10:27,23390,23400,23390,23400,31,,11:35,23390,23400,23390,23400,132,,14:25,23400,23410,23390,23400,916,,18:15,23310,23310,23290,23290,471,,20:50,23240,23260,23230,23230,656,,2:30,23130,23150,23120,23140,461,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:20,23370,23370,23370,23370,125,,10:30,23390,23410,23390,23400,257,,11:40,23410,23410,23400,23400,473,,14:35,23400,23410,23400,23410,651,,18:30,23290,23290,23280,23280,406,,21:10,23230,23240,23220,23240,355,,3:00,23140,23160,23120,23160,622,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:21,23370,23370,23370,23370,2,,10:33,23400,23400,23390,23390,173,,11:45,23400,23400,23400,23400,38,,14:45,23420,23440,23420,23430,1731,,18:45,23270,23270,23250,23270,974,,21:30,23230,23240,23170,23180,1567,,3:30,23160,23170,23130,23160,944,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:22,23370,23370,23370,23370,6,,10:36,23400,23400,23400,23400,136,,11:50,23400,23400,23400,23400,1,,14:55,23430,23440,23400,23410,3179,,19:00,23270,23270,23260,23270,520,,21:50,23180,23200,23180,23200,535,,4:00,23170,23170,23110,23130,1458,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:23,23370,23380,23370,23370,141,,10:39,23400,23400,23400,23400,20,,11:55,23400,23410,23400,23410,190,,15:05,23410,23420,23400,23420,441,,19:15,23270,23280,23270,23270,326,,22:10,23190,23230,23170,23220,1049,,4:30,23130,23140,23050,23060,1706,,,,,,,,,,,,,,,,,,,,,
20/10/28,9:24,23370,23380,23370,23370,75,,10:42,23410,23410,23410,23410,8,,12:00,23410,23410,23400,23400,142,,15:15,23420,23420,23420,23420,1071,,19:30,23270,23270,23260,23270,371,,22:30,23220,23260,23210,23240,1434,,5:00,23070,23070,23060,23060,303,,,,,,,,,,,,,,,,,,,,,
